,ID,건물명,주소,판매 유형,건물 유형,보증금,월 납입 비용,관리비,면적(단위:평),주변 지하철역,준공일자,판매등록일자,구,동
6024,40022452,미등록 건물명,중구 대흥동 452-37,월세,원룸,100.0,31.0,3,8.0,"['중구청역', '중앙로역', '서대전네거리역']",20110217,2024-03-05,중구,대흥동
14507,40056153,미등록 건물명,중구 선화동 229-9,월세,원룸,200.0,35.0,1.5,8.0,"['중앙로역', '중구청역', '대전역']",20140929,2024-03-12,중구,
15915,40061392,미등록 건물명,중구 운남동 1541-9,월세,원룸,200.0,28.0,7,6.0,없음,20170728,2024-03-09,중구,
5953,40022208,미등록 건물명,중구 선화동 424-6,월세,원룸,2000.0,45.0,4.5,12.0,"['중구청역', '서대전네거리역', '중앙로역']",2016-07-29,2024-03-01,중구,
5925,40022074,스카이가든본동,중구 중산동 1873-6,월세,오피스텔,200.0,30.0,8,5.8,없음,20210112,2024-03-15,중구,
5904,40021997,미등록 건물명,중구 유천동 186-18,월세,빌라,2000.0,60.0,2.5,15.0,"['서대전네거리역', '오룡역']",2018.02.23,2024-03-31,중구,
5866,40021902,블루오션레지던스2차,중구 중산동 1873-17,월세,오피스텔,300.0,50.0,12,6.2,없음,20211224,2024-03-13,중구,
16070,40062132,미등록 건물명,중구 운서동 3031-10,월세,원룸,300.0,30.0,20,6.0,['운서역'],20181012,2024-03-07,중구,
5857,40021871,미등록 건물명,중구 운서동 2884-5,월세,원룸,500.0,50.0,7,10.0,['운서역'],20181207,2024-04-02,중구,
15775,40060650,미등록 건물명,중구 용두동 26-15,월세,원룸,1000.0,58.0,1.7,11.0,"['서대전네거리역', '중구청역', '오룡역']",20221121,2024-06-03,중구,용두동
14444,40055901,반월당역클래시아2차,중구 봉산동 50,월세,오피스텔,500.0,75.0,10,7.9,"['반월당(현대백화점)역', '중앙로역', '경대병원역']",20180628,2024-03-08,중구,
6872,40025802,미등록 건물명,중구 유천동 135-1,월세,빌라,3000.0,40.0,1.7,16.0,"['서대전네거리역', '오룡역']",20170828,2024-06-14,중구,
15572,40059849,메이폴Ⅱ,중구 운서동 3093-6,월세,오피스텔,2800.0,80.0,9,12.7,['운서역'],2023.11.21,2024-03-22,중구,
6609,40024668,미등록 건물명,중구 대흥동 3-12,월세,원룸,1000.0,58.0,5,12.0,"['중앙로역', '대전역', '중구청역']",2019-05-13,2024-03-19,중구,대흥동
6621,40024720,동성로하우스디어반,중구 남일동 29-3,월세,오피스텔,1000.0,70.0,8,10.0,"['중앙로역', '반월당(현대백화점)역', '대구역']",20211122,2024-04-21,중구,
6583,40024510,동원스위트을지,중구 을지로6가 48,월세,오피스텔,2000.0,120.0,12,11.5,"['동대문역사문화공원역', '을지로4가역', '종로5가역']",20190410,2024-03-07,중구,을지로6가
15086,40058034,미등록 건물명,중구 운남동 1538-13,월세,원룸,300.0,30.0,8,7.0,없음,20170228,2024-03-05,중구,
15089,40058057,다베로,중구 황학동 970,전세,오피스텔,35000.0,0.0,8,13.9,"['신당역', '상왕십리역', '동묘앞역']",20211105,2024-05-03,중구,황학동
6534,40024315,엘루이일루프,중구 을지로5가 272-17,전세,오피스텔,34000.0,0.0,15,11.7,"['을지로4가역', '종로5가역', '동대문역사문화공원역']",20230127,2024-04-04,중구,을지로5가
14927,40057546,프라임시티1차,중구 운서동 3093-1,전세,오피스텔,10000.0,0.0,7,6.5,['운서역'],2019.4.2.,2024-03-30,중구,
14918,40057523,미등록 건물명,중구 운남동 1500-10,월세,원룸,300.0,30.0,5,5.0,없음,20161108,2024-03-27,중구,
15136,40058231,미등록 건물명,중구 운남동 1522-3,월세,원룸,200.0,28.0,7,7.0,없음,20140328,2024-03-05,중구,
6520,40024275,을지웰라이프,중구 을지로4가 187-9,전세,오피스텔,26100.0,0.0,9,10.3,"['을지로4가역', '종로5가역', '충무로역']",20200708,2024-03-04,중구,을지로4가
15152,40058299,코발트팰리스,중구 오장동 90-24,전세,오피스텔,13500.0,0.0,9,6.2,"['을지로4가역', '충무로역', '동대문역사문화공원역']",20140109,2024-03-06,중구,오장동
14890,40057436,미등록 건물명,중구 반구동 786-3,월세,빌라,1000.0,55.0,5,17.0,없음,20150224,2024-03-11,중구,
6871,40025799,미등록 건물명,중구 부사동 155-3,월세,원룸,3000.0,40.0,3,12.0,['신흥역'],2023.03.22,2024-03-31,중구,
14871,40057370,미등록 건물명,중구 선화동 229-9,월세,원룸,200.0,35.0,2.7,8.0,"['중앙로역', '중구청역', '대전역']",2014-09-29,2024-03-09,중구,
14776,40057080,미등록 건물명,중구 운서동 2898-1,월세,원룸,300.0,40.0,8,12.0,없음,20180425,2024-03-05,중구,
14769,40057057,미등록 건물명,중구 반구동 22-33,월세,원룸,500.0,37.0,5,10.0,없음,20080710,2024-04-04,중구,
14768,40057056,미등록 건물명,중구 대흥동 505-14,월세,원룸,500.0,51.0,4.5,11.0,"['중구청역', '중앙로역', '서대전네거리역']",2015-12-01,2024-03-07,중구,대흥동
6772,40025371,미등록 건물명,중구 황학동 1519,월세,빌라,5000.0,90.0,9.8,13.0,"['신당역', '동묘앞역', '신설동역']",2013-05-16 ,2024-03-02,중구,황학동
15434,40059342,미등록 건물명,중구 대흥동 437-4,월세,원룸,500.0,60.0,3.8,13.0,"['중앙로역', '중구청역', '대전역']",2018-02-23,2024-03-11,중구,대흥동
6794,40025456,목연정M씨티,중구 부평동3가 63-5,월세,오피스텔,300.0,35.0,15,6.0,"['토성역', '자갈치역', '남포역']",2019.02.26,2024-03-22,중구,
14728,40056932,세운푸르지오헤리시티,중구 인현동2가 151-1,월세,오피스텔,3000.0,150.0,13,8.5,"['을지로4가역', '충무로역', '을지로3가역']",2023.01,2024-03-18,중구,인현동2가
6301,40023574,남산센트럴시티투웨니퍼스트,중구 오장동 148-16,월세,오피스텔,300.0,120.0,15,5.6,"['을지로4가역', '동대문역사문화공원역', '종로5가역']",2022-02-28 ,2024-08-27,중구,오장동
6298,40023562,미등록 건물명,중구 옥계동 25-1,월세,빌라,2000.0,35.0,1.5,15.0,없음,2003.07.21.,2024-03-06,중구,
14705,40056853,미등록 건물명,중구 대흥동 508-18,월세,원룸,500.0,45.0,4,8.5,"['중구청역', '중앙로역', '서대전네거리역']",2020-07-31,2024-03-26,중구,대흥동
15565,40059800,브릴란테남산,중구 필동1가 3-5,월세,오피스텔,3000.0,220.0,10,10.0,"['충무로역', '을지로3가역', '명동역']",20230717,2024-04-29,중구,필동1가
6261,40023415,브릴란테남산,중구 필동1가 3-5,월세,오피스텔,3000.0,210.0,20,11.9,"['충무로역', '을지로3가역', '명동역']",20230717,2024-03-13,중구,필동1가
6449,40024068,미등록 건물명,중구 봉산동 64-17,월세,빌라,1000.0,61.0,9,15.0,"['반월당(현대백화점)역', '경대병원역', '명덕(2·28민주운동기념회관)역']",20190823,2024-03-08,중구,
16125,40062405,미등록 건물명,중구 부사동 290-3,전세,빌라,9000.0,0.0,2,16.0,없음,20110201 ,2024-04-05,중구,
16162,40062569,이지마루오장,중구 오장동 206-34,월세,오피스텔,5000.0,110.0,13,12.0,"['을지로4가역', '동대문역사문화공원역', '동대입구역']",20181204,2024-03-06,중구,오장동
16165,40062575,미등록 건물명,중구 운남동 1521-2,월세,원룸,300.0,38.0,5,6.0,없음,20170125,2024-03-15,중구,
14158,40054866,운서역더타임,중구 운서동 3098-5,월세,오피스텔,500.0,55.0,7,7.1,['운서역'],20200528,2024-08-02,중구,
16766,40064867,동성로하우스디어반,중구 남일동 29-3,월세,오피스텔,1000.0,70.0,8,10.0,"['중앙로역', '반월당(현대백화점)역', '대구역']",20211122,2024-03-07,중구,
5334,40019783,미등록 건물명,중구 선화동 369-5,월세,원룸,500.0,44.0,2.8,11.0,"['중구청역', '중앙로역', '서대전네거리역']",2012-08-14,2024-03-07,중구,
16803,40065009,더예스클라우드,중구 운서동 3092-3,월세,오피스텔,9450.0,5.0,6,6.4,['운서역'],20191220,2024-07-17,중구,
14105,40054642,미등록 건물명,중구 대흥동 508-18,월세,원룸,300.0,47.0,1.5,10.0,"['중구청역', '중앙로역', '서대전네거리역']",20200731,2024-03-05,중구,대흥동
16852,40065177,미등록 건물명,대구시 중구 삼덕동2가,월세,빌라,800.0,60.0,10,17.0,"['경대병원역', '반월당(현대백화점)역', '중앙로역']",2007.10.9,2024-05-31,중구,
7213,40027168,미등록 건물명,중구 대흥동 505-14,월세,원룸,500.0,35.0,4,9.0,"['중구청역', '중앙로역', '서대전네거리역']",20151201,2024-07-28,중구,대흥동
7220,40027188,미등록 건물명,중구 반구동 907-2,월세,원룸,500.0,34.0,9,9.0,없음,20140828,2024-03-31,중구,
7252,40027280,미등록 건물명,중구 용두동 133-4,월세,원룸,1000.0,55.0,5,12.0,"['오룡역', '용문역', '서대전네거리역']",20140818,2024-03-11,중구,용두동
16901,40065374,동성로하우스디어반,중구 남일동 29-3,월세,오피스텔,500.0,60.0,0,7.6,"['중앙로역', '반월당(현대백화점)역', '대구역']",2021년도 ,2024-03-06,중구,
5232,40019337,센트럴시티,중구 하서동 34-2,월세,오피스텔,500.0,53.0,8,7.8,"['서문시장(동산병원)역', '중앙로역', '반월당(현대백화점)역']",2017.9.20,2024-03-07,중구,
16915,40065434,미등록 건물명,중구 삼덕동3가 340-1,월세,원룸,300.0,27.0,8,8.0,"['경대병원역', '대구은행역', '대봉교역']",20100423,2024-07-05,중구,
